Image_name,RegionNo.,Stat,Aperture(um),Area(um^2),Long_axis_length(um),Aperture/Long_axis_length(arbitrary),Centroid(X)(px),Centroid(Y)(px),Eccentricity(arbitrary),Solidity(arbitrary)
20160927_REDOX_Close_A6_01,1,open,10.637603280568506,163.84548611111111,66.05668083334993,0.4637880235812575,67.17439293598234,85.80573951434879,0.885946199936876,0.9041916167664671
20160927_REDOX_Close_A6_01,2,open,10.042356057153174,186.87307098765433,68.69620530034044,0.42101285388550874,113.02387096774194,81.68322580645162,0.9070546713749834,0.9736180904522613
20160927_REDOX_Close_A6_01,3,open,11.002149607698787,203.99305555555557,68.45761253377921,0.46285854410329463,118.47222222222223,115.64302600472813,0.8864321565413669,0.9735327963176065
20160927_REDOX_Close_A6_01,4,open,8.529544429959326,175.90181327160494,76.31165742602724,0.3219047886896579,108.09115832762166,85.96504455106238,0.9467720459638986,0.96494708994709
20160927_REDOX_Close_A6_01,5,open,8.255870699824019,164.20717592592592,76.34920883440023,0.3114231041616262,104.83480176211454,112.65051395007342,0.9502713560843223,0.9464906184850591
20160927_REDOX_Close_A6_01,6,open,9.725728255779018,214.96431327160494,81.37390631165484,0.34421473229228283,101.68648345485137,46.91587212563096,0.9388909511082488,0.9743169398907103
20160927_REDOX_Close_A6_01,7,open,7.855305464932345,138.40663580246914,67.79056205137344,0.3337231475062951,104.05139372822299,111.88588850174216,0.9426711307866024,0.9303079416531604
20160927_REDOX_Close_A6_01,8,open,8.23033948873824,170.83815586419755,76.5637683868455,0.30959000878591336,97.88990825688073,85.56457304163726,0.9508701417438336,0.9712131596984236
20160927_REDOX_Close_A6_01,9,open,8.507891115601403,155.2854938271605,69.29025285356632,0.3536244335074743,92.10403726708074,103.43478260869566,0.9353874919125859,0.9512555391432792
20160927_REDOX_Close_A6_01,10,open,10.267482866264476,190.36940586419755,70.90991702511542,0.41701290729713075,101.56048131728943,70.07536415452819,0.9089005639494314,0.957550030321407
20160927_REDOX_Close_A6_02,1,partially_open,3.0667432035807556,51.72164351851852,62.47256077510638,0.14137759548720108,94.45221445221445,98.73426573426573,0.9899557442099406,0.9147121535181236
20160927_REDOX_Close_A6_02,2,partially_open,2.4731993841412905,39.30362654320988,59.05519545555116,0.12061282959749099,111.43558282208589,102.69018404907976,0.9926996249301632,0.9183098591549296
20160927_REDOX_Close_A6_02,3,closed,0,0
